date,rt,RV,delta_alpha_T252
2021-08-04,-0.278618,0.723647,1.056162
2021-08-05,0.074827,0.491717,1.075677
2021-08-06,-0.627560,0.506690,0.999164
2021-08-09,-0.034220,0.477094,1.120497
2021-08-10,-0.335973,1.112530,1.030193
2021-08-11,0.178412,0.585471,1.077283
2021-08-12,2.056052,0.709748,1.100190
2021-08-13,0.140944,0.510954,1.084827
2021-08-16,1.345700,3.115838,1.030111
2021-08-17,-0.617306,1.863203,1.036555
2021-08-18,-2.583182,1.240683,0.921560
2021-08-19,0.232035,1.880285,0.932407
2021-08-20,1.010555,0.552854,0.953443
2021-08-23,1.020486,0.436101,0.907253
2021-08-24,-0.060134,0.601997,0.973163
2021-08-25,-0.845699,0.516594,0.983917
2021-08-26,-0.554243,0.667517,0.874728
2021-08-27,0.715881,0.620823,1.075228
2021-08-30,2.996380,1.469448,1.217697
2021-08-31,-0.846045,0.851430,1.344874
2021-09-01,0.446869,0.647938,1.259757
2021-09-02,0.744712,0.590981,1.280092
2021-09-03,0.422147,0.618665,0.934905
2021-09-07,1.537057,0.940379,0.940227
2021-09-08,-1.013479,0.916081,0.916496
2021-09-09,-0.672750,0.719073,0.859914
2021-09-10,-3.366210,5.084206,0.909485
2021-09-13,0.388584,1.595361,1.043872
2021-09-14,-0.960803,1.831235,0.999222
2021-09-15,0.612487,1.240985,1.040640
2021-09-16,-0.161171,0.934725,1.057014
2021-09-17,-1.851842,0.828523,1.089608
2021-09-20,-2.159253,1.499582,0.994582
2021-09-21,0.342215,1.468099,0.997171
2021-09-22,1.673159,0.941820,0.821155
2021-09-23,0.669676,0.644211,0.949454
2021-09-24,0.061277,0.438201,0.989528
2021-09-27,-1.060600,0.760165,0.894585
2021-09-28,-2.408916,1.660706,0.993410
2021-09-29,0.646206,1.450034,0.990899
2021-09-30,-0.935539,1.484897,0.996984
2021-10-01,0.809436,1.826894,0.970686
2021-10-04,-2.491346,2.069722,0.957267
2021-10-05,1.405911,0.745497,0.990505
2021-10-06,0.628733,2.054376,0.905549
2021-10-07,0.904349,0.642634,1.015492
2021-10-08,-0.272546,0.436423,0.944432
2021-10-11,-0.063001,0.602283,1.038447
2021-10-12,-0.914469,0.884251,0.952653
2021-10-13,-0.424900,1.075765,0.893755
2021-10-14,2.002385,0.376701,0.826902
2021-10-15,0.748444,0.728368,0.855100
2021-10-18,1.173698,0.725864,0.828662
2021-10-19,1.496760,0.911513,0.866721
2021-10-20,0.335548,0.737372,1.102071
2021-10-21,0.147285,0.781609,1.049904
2021-10-22,-0.529900,0.789083,1.099926
2021-10-25,-0.033633,0.652939,1.145550
2021-10-26,0.456438,1.358857,0.999856
2021-10-27,-0.315257,0.638990,0.985214
2021-10-28,2.468442,0.903635,0.945508
2021-10-29,-1.832244,0.975834,1.145058
2021-11-01,-0.562326,0.788425,1.074081
2021-11-02,0.709081,1.146553,1.108271
2021-11-03,0.975100,0.663443,1.115982
2021-11-04,-0.350472,0.650818,1.236045
2021-11-05,0.211752,0.661224,1.189591
2021-11-08,-0.556809,0.340169,1.222587
2021-11-09,0.245643,1.224931,1.203091
2021-11-10,-1.934918,0.995290,1.246738
2021-11-11,-0.033808,0.315501,1.227944
2021-11-12,1.423512,0.655708,1.317475
2021-11-15,0.006667,0.783135,1.285690
2021-11-16,0.664454,0.622940,1.264091
2021-11-17,1.635558,1.794717,1.142307
2021-11-18,2.813649,2.952201,1.178511
2021-11-19,1.683351,1.828260,1.134094
2021-11-22,0.292316,2.580502,1.230544
2021-11-23,0.241913,2.256280,1.209941
2021-11-24,0.327818,1.330016,1.204682
2021-11-26,-3.219101,1.095057,1.206737
2021-11-29,2.163781,0.774003,1.227602
2021-11-30,3.108931,3.363623,1.155972
2021-12-01,-0.321144,4.859797,1.091116
2021-12-02,-0.614862,3.757522,1.068739
2021-12-03,-1.179375,4.590945,1.238877
2021-12-06,2.127480,3.146724,1.172633
2021-12-07,3.483264,1.232653,1.232626
2021-12-08,2.252738,2.966400,1.208392
2021-12-09,-0.297449,2.174286,1.279508
2021-12-10,2.762810,1.619053,1.171962
2021-12-13,-2.089099,3.503967,1.174214
2021-12-14,-0.805558,2.887965,1.168883
2021-12-15,2.811033,4.445194,1.229039
2021-12-16,-4.005542,5.328368,1.208878
2021-12-17,-0.652303,5.520450,1.249491
2021-12-20,-0.815517,2.788449,1.267842
2021-12-21,1.890702,1.399690,1.283784
2021-12-22,1.520266,1.366014,1.234866
2021-12-23,0.363719,0.591321,1.227409
2021-12-27,2.271487,0.767986,1.154996
2021-12-28,-0.578390,1.434078,1.299026
2021-12-29,0.050185,0.935713,1.316056
2021-12-30,-0.659995,0.473033,1.409691
2021-12-31,-0.354162,0.695458,1.315491
2022-01-03,2.469673,1.582369,1.371001
2022-01-04,-1.277284,2.011628,1.302747
2022-01-05,-2.696007,1.652510,1.258766
2022-01-06,-1.683425,2.654896,1.171488
2022-01-07,0.098788,2.108417,1.236824
2022-01-10,0.011616,2.690161,1.223493
2022-01-11,1.664449,2.273203,1.220349
2022-01-12,0.256696,1.059536,1.218395
2022-01-13,-1.921145,1.672994,1.192191
2022-01-14,0.509762,2.230784,1.076276
2022-01-18,-1.907486,2.527463,1.139162
2022-01-19,-2.124890,1.829182,1.159533
2022-01-20,-1.040101,1.907900,1.332745
2022-01-21,-1.284736,5.023899,1.186221
2022-01-24,-0.487610,9.384710,1.219582
2022-01-25,-1.145003,4.994247,1.146113
2022-01-26,-0.056343,10.209849,1.112575
2022-01-27,-0.294754,5.030210,1.054642
2022-01-28,6.745084,4.439452,0.957008
2022-01-31,2.579031,1.594750,0.828958
2022-02-01,-0.097312,1.442671,0.880059
2022-02-02,0.701958,1.664990,0.922500
2022-02-03,-1.686110,2.140753,0.984753
2022-02-04,-0.295404,1.978529,1.015573
2022-02-07,-0.424358,1.649454,1.125927
2022-02-08,1.829830,1.115375,1.077583
2022-02-09,0.825957,0.845203,1.024417
2022-02-10,-2.388173,1.609259,0.922998
2022-02-11,-2.042564,2.907129,0.969956
2022-02-14,0.142214,2.853039,0.927256
2022-02-15,2.288858,0.655095,0.985577
2022-02-16,-0.138993,1.353484,1.097469
