date,rt,RV,delta_alpha_T252
2013-07-23,-1.788719,0.882989,0.851616
2013-07-24,5.018974,1.655067,0.836189
2013-07-25,-0.446003,1.328730,0.847052
2013-07-26,0.573067,0.749360,0.815385
2013-07-29,1.512316,1.329491,0.813762
2013-07-30,1.243024,0.806648,0.734071
2013-07-31,-0.185471,1.258818,0.894461
2013-08-01,0.923936,0.688726,0.876221
2013-08-02,1.279335,0.593648,1.103143
2013-08-05,1.501981,1.068388,1.339541
2013-08-06,-0.898479,1.345920,1.195952
2013-08-07,-0.060187,0.957788,1.087527
2013-08-08,-0.907173,0.944525,1.043920
2013-08-09,-1.407181,0.941703,1.132593
2013-08-12,2.794836,1.460164,1.166680
2013-08-13,4.624763,6.173864,0.876463
2013-08-14,1.814109,3.302983,0.997619
2013-08-15,-0.112423,1.791793,0.912106
2013-08-16,0.895863,0.458878,0.919973
2013-08-19,1.053517,1.202485,0.992588
2013-08-20,-1.276731,1.242175,0.835997
2013-08-21,0.223214,1.305051,0.929030
2013-08-22,0.111421,0.953098,1.008439
2013-08-23,-0.390517,0.496614,1.026563
2013-08-26,0.390517,1.181818,1.003359
2013-08-27,-2.880741,1.970984,0.954534
2013-08-28,0.457405,1.835622,0.995467
2013-08-29,0.170989,0.552004,0.792704
2013-08-30,-0.915338,0.879579,0.845363
2013-09-03,0.286944,1.459084,0.643543
2013-09-04,2.042045,0.645879,0.668540
2013-09-05,-0.676059,0.525071,0.779903
2013-09-06,0.563699,1.561905,0.969776
2013-09-09,1.616985,0.416604,0.874396
2013-09-10,-2.293807,5.604463,0.817967
2013-09-11,-5.645957,2.285857,0.797172
2013-09-12,1.072077,0.957622,0.858057
2013-09-13,-1.672679,0.638182,0.841497
2013-09-16,-3.182643,1.807307,0.931801
2013-09-17,1.113184,1.797308,0.816204
2013-09-18,2.069459,1.626170,0.720202
2013-09-19,1.613420,0.615457,0.838940
2013-09-20,-1.072716,1.557811,0.960628
2013-09-23,4.853335,3.574401,1.024062
2013-09-24,-0.285796,0.947006,1.088324
2013-09-25,-1.557574,0.982565,1.065279
2013-09-26,0.983520,0.704164,1.047440
2013-09-27,-0.751232,0.488163,0.907773
2013-09-30,-1.225577,1.018758,0.961474
2013-10-01,2.321636,1.173668,1.007818
2013-10-02,0.286451,1.255788,0.956569
2013-10-03,-1.266568,1.339851,0.820116
2013-10-04,-0.057954,0.788172,0.976192
2013-10-07,0.980683,0.743185,1.031151
2013-10-08,-1.387305,1.374016,1.147378
2013-10-09,1.157420,1.435848,1.168161
2013-10-10,0.630917,0.794333,1.291500
2013-10-11,0.626961,0.589507,1.182803
2013-10-14,0.679504,0.860412,1.111950
2013-10-15,0.506615,1.073163,1.010395
2013-10-16,0.504062,0.525207,1.015740
2013-10-17,0.668154,0.362219,1.012753
2013-10-18,0.828963,0.322233,1.018484
2013-10-21,2.446439,1.136879,1.036719
2013-10-22,-0.268890,6.472658,1.034448
2013-10-23,0.964638,1.552917,1.045483
2013-10-24,1.324523,0.722771,1.067924
2013-10-25,-1.164651,0.737545,1.061383
2013-10-28,0.742709,0.963731,1.084752
2013-10-29,-2.515519,5.354308,1.030349
2013-10-30,1.612938,1.615078,1.024704
2013-10-31,-0.427579,1.145163,1.000314
2013-11-01,-0.537058,0.907763,1.003652
2013-11-04,1.284127,1.140512,1.002180
2013-11-05,-0.212879,0.782923,1.027476
2013-11-06,-0.909827,0.662943,0.956093
2013-11-07,-1.626052,0.842704,1.008417
2013-11-08,1.572274,0.543348,0.990989
2013-11-11,-0.269324,1.032323,1.039608
2013-11-12,0.161682,0.780496,0.965473
2013-11-13,0.107643,0.482130,0.907151
2013-11-14,1.441948,0.381347,0.936698
2013-11-15,-0.584952,0.508793,0.978796
2013-11-18,-1.234252,1.064193,1.080172
2013-11-19,0.215750,0.642842,1.128248
2013-11-20,-0.920169,0.397698,1.152496
2013-11-21,1.189203,0.540079,1.190165
2013-11-22,-0.269034,0.222836,1.177439
2013-11-25,0.804941,0.559421,1.162152
2013-11-26,1.800896,0.675055,1.147582
2013-11-27,2.334736,0.513603,1.143870
2013-11-29,1.829319,0.631027,1.202363
2013-12-02,-0.859677,2.483429,1.126841
2013-12-03,2.705576,0.810717,1.253116
2013-12-04,-0.247464,1.140474,1.206005
2013-12-05,0.494316,0.891605,1.179880
2013-12-06,-1.390291,0.588045,1.234535
2013-12-09,1.143438,0.551176,1.142057
2013-12-10,-0.148405,0.542846,1.084073
2013-12-11,-0.745345,0.715411,1.073663
2013-12-12,-0.149738,0.786042,1.183221
2013-12-13,-1.104984,0.869381,1.213553
2013-12-16,0.554018,1.053685,1.207526
2013-12-17,-0.453059,0.765347,1.158327
2013-12-18,-0.759690,2.837533,1.075556
2013-12-19,-1.124756,0.696966,1.072500
2013-12-20,0.819257,0.335724,1.039901
2013-12-23,3.753255,0.949018,1.138355
2013-12-24,-0.443023,0.184378,1.187159
2013-12-26,-0.643407,0.668317,1.142099
2013-12-27,-0.697561,0.253980,1.066494
2013-12-30,-1.005034,0.726537,0.969125
2013-12-31,1.204834,0.327799,1.041124
2014-01-02,-1.457678,0.345670,1.115596
2014-01-03,-2.201266,0.744457,1.172124
2014-01-06,0.567743,1.272208,1.172050
2014-01-07,-0.723144,0.841326,1.051696
2014-01-08,0.620157,0.713490,1.007477
2014-01-09,-1.296362,1.139052,1.023149
2014-01-10,-0.680809,1.072647,0.947894
2014-01-13,0.524110,1.487478,0.918837
2014-01-14,1.966937,0.670237,0.961997
2014-01-15,2.029496,0.819375,0.974358
2014-01-16,-0.604536,0.593633,0.854904
2014-01-17,-2.455366,0.851251,0.867714
2014-01-21,1.541654,0.851858,0.895712
2014-01-22,0.457900,0.956194,0.951121
2014-01-23,0.808902,1.282839,0.911707
2014-01-24,-1.829319,1.282210,0.870262
2014-01-27,0.817165,1.055353,0.831281
2014-01-28,-8.322682,2.807631,0.871513
2014-01-29,-1.167653,1.611702,0.875124
2014-01-30,-0.167926,1.383607,0.959486
2014-01-31,0.167926,0.698780,0.984317
2014-02-03,0.167645,1.809064,0.901699
2014-02-04,1.441267,0.809295,0.960918
2014-02-05,0.767548,1.090073,0.916339
2014-02-06,-0.054630,0.623690,0.862279
2014-02-07,1.410767,0.732986,0.959039
2014-02-10,1.762395,1.237944,0.978455
2014-02-11,1.314770,0.463473,0.942484
2014-02-12,0.000000,1.127944,0.864915
2014-02-13,1.555241,0.633481,0.935558
2014-02-14,-0.051454,0.683292,0.911110
2014-02-18,0.359620,0.915233,0.889754
2014-02-19,-1.602516,1.060578,0.937549
2014-02-20,-1.153053,1.202877,0.973097
2014-02-21,-1.113184,0.605023,0.975574
2014-02-24,0.425533,1.229141,0.919822
2014-02-25,-1.013612,1.041904,0.793375
2014-02-26,-0.915708,1.264792,0.741537
2014-02-27,1.982385,1.076347,0.826346
2014-02-28,-0.318810,1.417491,0.764175
2014-03-03,0.318810,1.186497,0.821572
2014-03-04,0.634587,0.384341,0.966700
2014-03-05,0.210637,0.459643,0.966898
2014-03-06,-0.263366,0.499690,0.957424
2014-03-07,-0.105541,0.534489,0.938993
2014-03-10,0.105541,0.568940,0.775084
2014-03-11,0.997122,0.502099,0.716215
2014-03-12,0.052206,0.608635,0.796686
2014-03-13,-1.102084,1.214318,0.840109
2014-03-14,-1.114365,0.699734,0.803381
2014-03-17,0.372837,0.503021,0.764723
2014-03-18,0.899715,0.401187,0.773152
2014-03-19,-0.052701,0.590889,0.853360
2014-03-20,-0.475562,0.646241,0.876000
2014-03-21,0.791352,0.585810,0.844903
2014-03-24,1.201373,0.764881,0.925503
2014-03-25,1.033067,0.528034,0.886726
